1;Treino do Full Body do Vitor;22;22;14/06/2026 11:33:21
3;Treino do Full Body do Vitor;22;0;14/06/2026 11:56:35
2;Treino de pilates;5;5;14/06/2026 12:06:22
3;Treino de pilates;4;4;14/06/2026 12:07:24
3;Treino de pilates;4;4;14/06/2026 12:07:29
3;Treino do Full Body do Vitor;22;0;14/06/2026 12:08:21
3;Treino de pilates;5;4;14/06/2026 12:19:36
3;Treino do Full Body do Vitor;22;6;14/06/2026 12:42:18
1;Treino Voador;2;0;14/06/2026 12:43:11
4;Treino Voador;3;3;15/06/2026 22:37:36
3;Treino do Full Body do Vitor;0;0;15/06/2026 23:00:01
1;Treino Full Body Vitor;6;6;15/06/2026 23:05:12
2;Treino de pilates;9;9;15/06/2026 23:08:44
3;Treino de pilates;9;0;15/06/2026 23:09:53
